system,E_cls_elec,E_mod_pauli,E_disp,E_frz,E_pol,E_vct,E_int
frame0259,2.4615,1.6982,0.0249,4.1846,-1.1268,-1.9064,1.1514
frame0261,3.0000,2.0322,-0.1032,4.9289,-1.3133,-1.6132,2.0025
frame0263,3.7658,2.1942,-0.1238,5.8362,-1.1030,-1.7668,2.9664
frame0265,3.9506,2.0821,-0.0961,5.9367,-1.2201,-1.9577,2.7588
frame0267,2.7954,1.3433,-0.0034,4.1353,-0.9518,-1.2940,1.8896
frame0269,2.7357,0.7359,0.1421,3.6137,-0.9038,-1.1418,1.5681
frame0271,2.9652,1.5701,-0.0341,4.5011,-0.9607,-1.4862,2.0543
frame0273,2.7986,2.0677,-0.0930,4.7733,-1.0682,-1.7164,1.9887
frame0275,3.6415,3.5892,-0.3534,6.8773,-1.3525,-2.7649,2.7599
frame0277,3.1384,1.6394,0.0419,4.8198,-1.0092,-2.1169,1.6936
frame0279,3.6199,1.2600,0.0742,4.9541,-1.0090,-1.5783,2.3668
frame0281,5.1682,2.4087,-0.1614,7.4155,-1.4103,-2.2753,3.7300
frame0283,4.0823,2.5396,-0.1721,6.4499,-1.3968,-2.1112,2.9418
frame0285,3.3343,3.0367,-0.3162,6.0548,-1.2862,-2.0528,2.7158
frame0287,5.1161,1.0155,0.0625,6.1941,-1.2393,-1.1769,3.7778
frame0289,4.5364,1.7723,-0.1295,6.1793,-1.3592,-1.5080,3.3121
frame0291,4.6225,3.0209,-0.3070,7.3365,-1.3251,-1.9686,4.0428
frame0293,5.0109,1.3488,0.0392,6.3990,-1.3187,-1.3545,3.7257
frame0295,3.4296,1.0282,0.1017,4.5595,-1.2451,-1.0622,2.2523
frame0297,5.1939,0.7576,0.1970,6.1486,-1.3071,-1.3513,3.4902
frame0299,4.9032,1.3091,0.1173,6.3296,-1.4941,-1.7516,3.0839
frame0301,5.8613,2.4532,-0.1812,8.1333,-1.5370,-1.8175,4.7789
frame0303,4.1037,2.4996,-0.0963,6.5070,-1.3512,-2.3611,2.7948
frame0305,3.6507,3.9120,-0.3941,7.1685,-1.5702,-2.6376,2.9608
frame0307,4.4854,2.2060,-0.1014,6.5901,-1.5578,-1.9717,3.0605
frame0309,3.6673,1.7071,0.0101,5.3845,-1.1864,-1.8431,2.3550
frame0311,3.9769,7.0525,-1.0367,9.9928,-1.7307,-3.3952,4.8669
frame0313,3.5717,2.7200,-0.2202,6.0715,-1.4356,-1.6093,3.0266
frame0315,2.2859,2.2150,-0.1101,4.3907,-1.0752,-1.9155,1.4001
frame0317,2.1884,3.8815,-0.3919,5.6780,-1.1287,-2.6356,1.9137
frame0319,3.4899,2.1994,-0.1125,5.5769,-1.4231,-1.6421,2.5117
frame0321,2.4186,1.5327,0.0055,3.9569,-1.3178,-1.3989,1.2403
frame0323,4.0012,1.5279,-0.0283,5.5007,-1.3285,-1.3660,2.8062
frame0325,4.6545,1.6023,-0.0125,6.2443,-1.4971,-1.4705,3.2767
frame0327,2.5718,7.0350,-0.9172,8.6897,-1.6329,-3.2774,3.7794
frame0329,4.2965,2.7249,-0.2016,6.8199,-1.3546,-2.1101,3.3552
frame0331,3.7411,0.9586,0.0908,4.7905,-1.1505,-1.2954,2.3446
frame0333,4.5454,1.0865,0.1330,5.7649,-1.2237,-1.5822,2.9590
frame0335,3.6513,2.7761,-0.2437,6.1836,-1.1240,-2.2626,2.7971
frame0337,4.1255,4.3260,-0.5472,7.9043,-1.1904,-2.6133,4.1006
