system,E_cls_elec,E_mod_pauli,E_disp,E_frz,E_pol,E_vct,E_int
frame0222,3.1218,2.0606,-3.8740,1.3084,-1.0135,-2.2332,-1.9383
frame0223,3.7001,1.6951,-3.5364,1.8588,-1.0568,-2.0853,-1.2833
frame0224,2.7116,2.0414,-3.9696,0.7834,-1.1935,-2.2116,-2.6217
frame0225,1.5384,3.4461,-5.0664,-0.0819,-1.3329,-2.5775,-3.9923
frame0226,-3.8088,10.6091,-7.7654,-0.9651,-1.3320,-4.7407,-7.0379
frame0227,-0.1415,6.7037,-6.3608,0.2014,-1.6057,-3.9170,-5.3212
frame0228,2.0452,3.3567,-5.0285,0.3734,-1.1361,-2.6963,-3.4589
frame0229,2.3107,5.0202,-6.2013,1.1297,-1.2267,-3.3991,-3.4961
frame0230,0.8939,10.3087,-8.0512,3.1514,-1.4264,-4.7567,-3.0316
frame0231,-0.0543,5.5602,-6.4239,-0.9179,-1.3204,-3.8303,-6.0686
frame0232,2.5001,2.7536,-4.5685,0.6852,-1.2760,-2.5962,-3.1869
frame0233,1.5696,3.9489,-5.3000,0.2184,-1.1028,-3.0506,-3.9350
frame0234,2.1468,3.8780,-5.1586,0.8662,-1.3215,-2.9959,-3.4512
frame0235,3.2148,5.6996,-6.0665,2.8479,-1.4528,-3.2191,-1.8240
frame0236,1.8289,7.5203,-6.6232,2.7260,-1.3402,-3.4403,-2.0545
frame0237,2.6629,4.3775,-5.2310,1.8095,-1.2135,-2.5658,-1.9698
frame0238,4.1326,2.3625,-4.0755,2.4197,-1.2659,-2.2949,-1.1411
frame0239,1.3181,1.9652,-3.9872,-0.7040,-1.0059,-2.3104,-4.0203
frame0240,2.5810,2.8128,-4.4620,0.9318,-1.0826,-3.0128,-3.1636
frame0241,2.5752,2.1132,-4.2061,0.4823,-1.2701,-2.9303,-3.7182
frame0242,3.1756,3.0657,-4.8752,1.3660,-1.7086,-3.0236,-3.3662
frame0243,2.0150,5.3364,-6.1404,1.2110,-1.7386,-3.5498,-4.0775
frame0244,0.6315,12.4200,-9.1772,3.8743,-1.7761,-5.7003,-3.6021
frame0245,1.5806,9.6403,-7.8446,3.3763,-1.3924,-4.8077,-2.8238
frame0246,3.5991,2.2573,-4.1316,1.7247,-1.2386,-2.4217,-1.9356
frame0247,3.5878,1.5915,-3.5836,1.5956,-1.3827,-2.0260,-1.8130
frame0248,2.9686,1.8170,-3.8889,0.8968,-1.1661,-2.0347,-2.3041
frame0249,2.7323,2.2750,-4.0964,0.9109,-1.1975,-2.4062,-2.6928
frame0250,2.4210,1.5193,-3.7424,0.1979,-1.4154,-2.2991,-3.5166
frame0251,2.0502,5.4590,-5.6988,1.8104,-1.1331,-3.3811,-2.7038
frame0252,1.5615,4.9408,-5.7639,0.7385,-1.3589,-3.0988,-3.7191
frame0253,2.5662,2.8908,-4.6595,0.7974,-1.4550,-2.1451,-2.8027
frame0254,1.9630,5.4261,-5.8911,1.4980,-1.3627,-2.8313,-2.6961
frame0255,2.4747,5.1248,-6.2399,1.3596,-1.3861,-3.4191,-3.4455
frame0256,2.0509,2.4143,-4.4140,0.0512,-1.1902,-2.5851,-3.7241
frame0257,1.9804,3.2409,-4.9784,0.2429,-1.1463,-2.9860,-3.8894
frame0258,0.3464,3.7397,-5.2643,-1.1782,-1.0598,-2.9682,-5.2062
frame0259,3.6587,5.8731,-6.4729,3.0589,-1.8757,-4.1254,-2.9422
frame0260,1.3917,8.4516,-7.5525,2.2908,-1.9077,-4.6730,-4.2899
frame0261,0.6246,8.1643,-7.4784,1.3106,-1.4863,-3.7674,-3.9430
frame0262,2.6098,2.5475,-4.1519,1.0054,-1.1685,-2.2590,-2.4221
frame0263,2.8689,2.8641,-4.3621,1.3709,-1.4168,-2.1907,-2.2366
frame0264,3.4854,3.0810,-4.6319,1.9345,-1.4055,-2.4357,-1.9067
frame0265,1.4377,2.8052,-4.3411,-0.0983,-1.3883,-2.2885,-3.7751
frame0266,1.1692,5.3722,-5.8845,0.6570,-1.4354,-2.9117,-3.6901
frame0267,2.2279,3.7609,-5.0136,0.9753,-1.1992,-2.3555,-2.5795
frame0268,2.8354,1.6698,-3.6096,0.8956,-1.1644,-1.9732,-2.2421
frame0269,2.1261,1.9854,-4.0991,0.0123,-1.1229,-2.5441,-3.6547
frame0270,-0.7616,5.3145,-5.7876,-1.2347,-1.0445,-3.3678,-5.6470
frame0271,1.2738,9.1298,-7.4552,2.9484,-1.1379,-3.8749,-2.0644
frame0272,2.2827,4.1358,-5.4039,1.0147,-1.2277,-2.8700,-3.0830
frame0273,4.1204,3.9488,-5.0225,3.0468,-1.2888,-2.3576,-0.5996
frame0274,3.4911,2.2528,-4.2193,1.5246,-1.1242,-2.4203,-2.0200
frame0275,2.9599,1.4691,-3.4235,1.0055,-1.1292,-1.8837,-2.0075
frame0276,3.0959,1.4832,-3.3990,1.1800,-1.3406,-1.7523,-1.9129
frame0277,2.8645,4.2979,-5.2085,1.9539,-1.2117,-2.8366,-2.0944
frame0278,2.5262,4.8831,-5.6043,1.8051,-1.5870,-2.8470,-2.6289
frame0279,3.8763,4.3816,-5.2260,3.0320,-1.6057,-2.9630,-1.5366
frame0280,3.0041,3.7735,-5.0936,1.6840,-1.5777,-3.0611,-2.9549
